"design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","scenario_id"
"one_by_twelve",1,12,500,0.25,"baseline",1,1
"three_by_four",3,4,500,0.25,"baseline",1,2
"six_by_two",6,2,500,0.25,"baseline",1,3
"one_by_twelve",1,12,2500,0.25,"baseline",1,4
"three_by_four",3,4,2500,0.25,"baseline",1,5
"six_by_two",6,2,2500,0.25,"baseline",1,6
"one_by_twelve",1,12,500,1,"baseline",1,7
"three_by_four",3,4,500,1,"baseline",1,8
"six_by_two",6,2,500,1,"baseline",1,9
"one_by_twelve",1,12,2500,1,"baseline",1,10
"three_by_four",3,4,2500,1,"baseline",1,11
"six_by_two",6,2,2500,1,"baseline",1,12
"one_by_twelve",1,12,500,0.25,"cohort_pulse",1,13
"three_by_four",3,4,500,0.25,"cohort_pulse",1,14
"six_by_two",6,2,500,0.25,"cohort_pulse",1,15
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",1,16
"three_by_four",3,4,2500,0.25,"cohort_pulse",1,17
"six_by_two",6,2,2500,0.25,"cohort_pulse",1,18
"one_by_twelve",1,12,500,1,"cohort_pulse",1,19
"three_by_four",3,4,500,1,"cohort_pulse",1,20
"six_by_two",6,2,500,1,"cohort_pulse",1,21
"one_by_twelve",1,12,2500,1,"cohort_pulse",1,22
"three_by_four",3,4,2500,1,"cohort_pulse",1,23
"six_by_two",6,2,2500,1,"cohort_pulse",1,24
"one_by_twelve",1,12,500,0.25,"baseline",2,25
"three_by_four",3,4,500,0.25,"baseline",2,26
"six_by_two",6,2,500,0.25,"baseline",2,27
"one_by_twelve",1,12,2500,0.25,"baseline",2,28
"three_by_four",3,4,2500,0.25,"baseline",2,29
"six_by_two",6,2,2500,0.25,"baseline",2,30
"one_by_twelve",1,12,500,1,"baseline",2,31
"three_by_four",3,4,500,1,"baseline",2,32
"six_by_two",6,2,500,1,"baseline",2,33
"one_by_twelve",1,12,2500,1,"baseline",2,34
"three_by_four",3,4,2500,1,"baseline",2,35
"six_by_two",6,2,2500,1,"baseline",2,36
"one_by_twelve",1,12,500,0.25,"cohort_pulse",2,37
"three_by_four",3,4,500,0.25,"cohort_pulse",2,38
"six_by_two",6,2,500,0.25,"cohort_pulse",2,39
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",2,40
"three_by_four",3,4,2500,0.25,"cohort_pulse",2,41
"six_by_two",6,2,2500,0.25,"cohort_pulse",2,42
"one_by_twelve",1,12,500,1,"cohort_pulse",2,43
"three_by_four",3,4,500,1,"cohort_pulse",2,44
"six_by_two",6,2,500,1,"cohort_pulse",2,45
"one_by_twelve",1,12,2500,1,"cohort_pulse",2,46
"three_by_four",3,4,2500,1,"cohort_pulse",2,47
"six_by_two",6,2,2500,1,"cohort_pulse",2,48
"one_by_twelve",1,12,500,0.25,"baseline",3,49
"three_by_four",3,4,500,0.25,"baseline",3,50
"six_by_two",6,2,500,0.25,"baseline",3,51
"one_by_twelve",1,12,2500,0.25,"baseline",3,52
"three_by_four",3,4,2500,0.25,"baseline",3,53
"six_by_two",6,2,2500,0.25,"baseline",3,54
"one_by_twelve",1,12,500,1,"baseline",3,55
"three_by_four",3,4,500,1,"baseline",3,56
"six_by_two",6,2,500,1,"baseline",3,57
"one_by_twelve",1,12,2500,1,"baseline",3,58
"three_by_four",3,4,2500,1,"baseline",3,59
"six_by_two",6,2,2500,1,"baseline",3,60
"one_by_twelve",1,12,500,0.25,"cohort_pulse",3,61
"three_by_four",3,4,500,0.25,"cohort_pulse",3,62
"six_by_two",6,2,500,0.25,"cohort_pulse",3,63
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",3,64
"three_by_four",3,4,2500,0.25,"cohort_pulse",3,65
"six_by_two",6,2,2500,0.25,"cohort_pulse",3,66
"one_by_twelve",1,12,500,1,"cohort_pulse",3,67
"three_by_four",3,4,500,1,"cohort_pulse",3,68
"six_by_two",6,2,500,1,"cohort_pulse",3,69
"one_by_twelve",1,12,2500,1,"cohort_pulse",3,70
"three_by_four",3,4,2500,1,"cohort_pulse",3,71
"six_by_two",6,2,2500,1,"cohort_pulse",3,72
"one_by_twelve",1,12,500,0.25,"baseline",4,73
"three_by_four",3,4,500,0.25,"baseline",4,74
"six_by_two",6,2,500,0.25,"baseline",4,75
"one_by_twelve",1,12,2500,0.25,"baseline",4,76
"three_by_four",3,4,2500,0.25,"baseline",4,77
"six_by_two",6,2,2500,0.25,"baseline",4,78
"one_by_twelve",1,12,500,1,"baseline",4,79
"three_by_four",3,4,500,1,"baseline",4,80
"six_by_two",6,2,500,1,"baseline",4,81
"one_by_twelve",1,12,2500,1,"baseline",4,82
"three_by_four",3,4,2500,1,"baseline",4,83
"six_by_two",6,2,2500,1,"baseline",4,84
"one_by_twelve",1,12,500,0.25,"cohort_pulse",4,85
"three_by_four",3,4,500,0.25,"cohort_pulse",4,86
"six_by_two",6,2,500,0.25,"cohort_pulse",4,87
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",4,88
"three_by_four",3,4,2500,0.25,"cohort_pulse",4,89
"six_by_two",6,2,2500,0.25,"cohort_pulse",4,90
"one_by_twelve",1,12,500,1,"cohort_pulse",4,91
"three_by_four",3,4,500,1,"cohort_pulse",4,92
"six_by_two",6,2,500,1,"cohort_pulse",4,93
"one_by_twelve",1,12,2500,1,"cohort_pulse",4,94
"three_by_four",3,4,2500,1,"cohort_pulse",4,95
"six_by_two",6,2,2500,1,"cohort_pulse",4,96
"one_by_twelve",1,12,500,0.25,"baseline",5,97
"three_by_four",3,4,500,0.25,"baseline",5,98
"six_by_two",6,2,500,0.25,"baseline",5,99
"one_by_twelve",1,12,2500,0.25,"baseline",5,100
"three_by_four",3,4,2500,0.25,"baseline",5,101
"six_by_two",6,2,2500,0.25,"baseline",5,102
"one_by_twelve",1,12,500,1,"baseline",5,103
"three_by_four",3,4,500,1,"baseline",5,104
"six_by_two",6,2,500,1,"baseline",5,105
"one_by_twelve",1,12,2500,1,"baseline",5,106
"three_by_four",3,4,2500,1,"baseline",5,107
"six_by_two",6,2,2500,1,"baseline",5,108
"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,109
"three_by_four",3,4,500,0.25,"cohort_pulse",5,110
"six_by_two",6,2,500,0.25,"cohort_pulse",5,111
"one_by_twelve",1,12,2500,0.25,"cohort_pulse",5,112
"three_by_four",3,4,2500,0.25,"cohort_pulse",5,113
"six_by_two",6,2,2500,0.25,"cohort_pulse",5,114
